Timestamp,Measurement,Value,Unit,Type,Blanked
0.00,ABSORBANCE,0.166,NONE,NONE,TRUE
60.00,ABSORBANCE,0.166,NONE,NONE,TRUE
120.00,ABSORBANCE,0.188,NONE,NONE,TRUE
180.00,ABSORBANCE,0.204,NONE,NONE,TRUE
240.00,ABSORBANCE,0.219,NONE,NONE,TRUE
300.00,ABSORBANCE,0.234,NONE,NONE,TRUE
360.00,ABSORBANCE,0.246,NONE,NONE,TRUE
420.00,ABSORBANCE,0.261,NONE,NONE,TRUE
480.00,ABSORBANCE,0.274,NONE,NONE,TRUE
540.00,ABSORBANCE,0.284,NONE,NONE,TRUE
600.00,ABSORBANCE,0.293,NONE,NONE,TRUE
660.00,ABSORBANCE,0.303,NONE,NONE,TRUE
720.00,ABSORBANCE,0.311,NONE,NONE,TRUE
780.00,ABSORBANCE,0.321,NONE,NONE,TRUE
840.00,ABSORBANCE,0.325,NONE,NONE,TRUE
900.00,ABSORBANCE,0.332,NONE,NONE,TRUE
960.00,ABSORBANCE,0.335,NONE,NONE,TRUE
1020.00,ABSORBANCE,0.342,NONE,NONE,TRUE
1080.00,ABSORBANCE,0.347,NONE,NONE,TRUE
1140.00,ABSORBANCE,0.351,NONE,NONE,TRUE
1200.00,ABSORBANCE,0.357,NONE,NONE,TRUE
1260.00,ABSORBANCE,0.361,NONE,NONE,TRUE
1320.00,ABSORBANCE,0.367,NONE,NONE,TRUE
1380.00,ABSORBANCE,0.369,NONE,NONE,TRUE
1440.00,ABSORBANCE,0.374,NONE,NONE,TRUE
1500.00,ABSORBANCE,0.377,NONE,NONE,TRUE
1560.00,ABSORBANCE,0.38,NONE,NONE,TRUE
1620.00,ABSORBANCE,0.387,NONE,NONE,TRUE
1680.00,ABSORBANCE,0.387,NONE,NONE,TRUE
1740.00,ABSORBANCE,0.389,NONE,NONE,TRUE
