Timestamp,Measurement,Value,Unit,Type,Blanked,Concentration
0.00,ABSORBANCE,0.175,NONE,NONE,TRUE,NONE
60.00,ABSORBANCE,0.205,NONE,NONE,TRUE,NONE
120.00,ABSORBANCE,0.226,NONE,NONE,TRUE,NONE
180.00,ABSORBANCE,0.243,NONE,NONE,TRUE,NONE
240.00,ABSORBANCE,0.255,NONE,NONE,TRUE,NONE
300.00,ABSORBANCE,0.265,NONE,NONE,TRUE,NONE
360.00,ABSORBANCE,0.274,NONE,NONE,TRUE,NONE
420.00,ABSORBANCE,0.281,NONE,NONE,TRUE,NONE
480.00,ABSORBANCE,0.286,NONE,NONE,TRUE,NONE
540.00,ABSORBANCE,0.29,NONE,NONE,TRUE,NONE
600.00,ABSORBANCE,0.294,NONE,NONE,TRUE,NONE
660.00,ABSORBANCE,0.297,NONE,NONE,TRUE,NONE
720.00,ABSORBANCE,0.3,NONE,NONE,TRUE,NONE
780.00,ABSORBANCE,0.302,NONE,NONE,TRUE,NONE
840.00,ABSORBANCE,0.303,NONE,NONE,TRUE,NONE
900.00,ABSORBANCE,0.306,NONE,NONE,TRUE,NONE
960.00,ABSORBANCE,0.307,NONE,NONE,TRUE,NONE
1020.00,ABSORBANCE,0.308,NONE,NONE,TRUE,NONE
1080.00,ABSORBANCE,0.309,NONE,NONE,TRUE,NONE
1140.00,ABSORBANCE,0.311,NONE,NONE,TRUE,NONE
1200.00,ABSORBANCE,0.312,NONE,NONE,TRUE,NONE
1260.00,ABSORBANCE,0.313,NONE,NONE,TRUE,NONE
1320.00,ABSORBANCE,0.314,NONE,NONE,TRUE,NONE
1380.00,ABSORBANCE,0.315,NONE,NONE,TRUE,NONE
1440.00,ABSORBANCE,0.316,NONE,NONE,TRUE,NONE
1500.00,ABSORBANCE,0.317,NONE,NONE,TRUE,NONE
1560.00,ABSORBANCE,0.318,NONE,NONE,TRUE,NONE
1620.00,ABSORBANCE,0.318,NONE,NONE,TRUE,NONE
1680.00,ABSORBANCE,0.318,NONE,NONE,TRUE,NONE
1740.00,ABSORBANCE,0.319,NONE,NONE,TRUE,NONE
1800,ABSORBANCE,0.32,NONE,NONE,TRUE,NONE
