Timestamp,Measurement,Value,Unit,Type,Blanked
0.00,ABSORBANCE,0.167,NONE,NONE,TRUE
60.00,ABSORBANCE,0.195,NONE,NONE,TRUE
120.00,ABSORBANCE,0.229,NONE,NONE,TRUE
180.00,ABSORBANCE,0.265,NONE,NONE,TRUE
240.00,ABSORBANCE,0.301,NONE,NONE,TRUE
300.00,ABSORBANCE,0.335,NONE,NONE,TRUE
360.00,ABSORBANCE,0.367,NONE,NONE,TRUE
420.00,ABSORBANCE,0.396,NONE,NONE,TRUE
480.00,ABSORBANCE,0.422,NONE,NONE,TRUE
540.00,ABSORBANCE,0.446,NONE,NONE,TRUE
600.00,ABSORBANCE,0.468,NONE,NONE,TRUE
660.00,ABSORBANCE,0.487,NONE,NONE,TRUE
720.00,ABSORBANCE,0.504,NONE,NONE,TRUE
780.00,ABSORBANCE,0.520,NONE,NONE,TRUE
840.00,ABSORBANCE,0.534,NONE,NONE,TRUE
900.00,ABSORBANCE,0.548,NONE,NONE,TRUE
960.00,ABSORBANCE,0.559,NONE,NONE,TRUE
1020.00,ABSORBANCE,0.570,NONE,NONE,TRUE
1080.00,ABSORBANCE,0.578,NONE,NONE,TRUE
1140.00,ABSORBANCE,0.587,NONE,NONE,TRUE
1200.00,ABSORBANCE,0.597,NONE,NONE,TRUE
1260.00,ABSORBANCE,0.605,NONE,NONE,TRUE
1320.00,ABSORBANCE,0.613,NONE,NONE,TRUE
1380.00,ABSORBANCE,0.620,NONE,NONE,TRUE
1440.00,ABSORBANCE,0.626,NONE,NONE,TRUE
1500.00,ABSORBANCE,0.633,NONE,NONE,TRUE
1560.00,ABSORBANCE,0.638,NONE,NONE,TRUE
1620.00,ABSORBANCE,0.643,NONE,NONE,TRUE
1680.00,ABSORBANCE,0.648,NONE,NONE,TRUE
1740.00,ABSORBANCE,0.653,NONE,NONE,TRUE
1800,ABSORBANCE,0.656,NONE,NONE,TRUE
